"","Quarter","Region","State","Purpose","Trips"
"103",2004-07-01,"Adelaide","South Australia","Holiday",112.9890536
"104",2004-10-01,"Adelaide","South Australia","Holiday",158.0570262
"105",2005-01-01,"Adelaide","South Australia","Holiday",141.6333769
"106",2005-04-01,"Adelaide","South Australia","Holiday",120.1251157
"107",2005-07-01,"Adelaide","South Australia","Holiday",160.774783
"108",2005-10-01,"Adelaide","South Australia","Holiday",149.0777328
"109",2006-01-01,"Adelaide","South Australia","Holiday",191.525738
"110",2006-04-01,"Adelaide","South Australia","Holiday",163.649515
"111",2006-07-01,"Adelaide","South Australia","Holiday",138.133273
"112",2006-10-01,"Adelaide","South Australia","Holiday",164.849392
"113",2007-01-01,"Adelaide","South Australia","Holiday",185.5543828
"114",2007-04-01,"Adelaide","South Australia","Holiday",180.6817518
"115",2007-07-01,"Adelaide","South Australia","Holiday",134.4982174
"116",2007-10-01,"Adelaide","South Australia","Holiday",155.604757
"117",2008-01-01,"Adelaide","South Australia","Holiday",181.779807
"118",2008-04-01,"Adelaide","South Australia","Holiday",147.5425818
"119",2008-07-01,"Adelaide","South Australia","Holiday",129.5127253
"120",2008-10-01,"Adelaide","South Australia","Holiday",152.0620509
"121",2009-01-01,"Adelaide","South Australia","Holiday",147.951753
"122",2009-04-01,"Adelaide","South Australia","Holiday",150.9474509
"123",2009-07-01,"Adelaide","South Australia","Holiday",157.6999575
"124",2009-10-01,"Adelaide","South Australia","Holiday",167.0237365
"125",2010-01-01,"Adelaide","South Australia","Holiday",190.0186267
"126",2010-04-01,"Adelaide","South Australia","Holiday",134.4421162
"127",2010-07-01,"Adelaide","South Australia","Holiday",108.0330401
"128",2010-10-01,"Adelaide","South Australia","Holiday",159.5471503
"129",2011-01-01,"Adelaide","South Australia","Holiday",169.8550653
"130",2011-04-01,"Adelaide","South Australia","Holiday",174.7726763
"131",2011-07-01,"Adelaide","South Australia","Holiday",109.4812806
"132",2011-10-01,"Adelaide","South Australia","Holiday",165.597184
"133",2012-01-01,"Adelaide","South Australia","Holiday",169.7142825
"134",2012-04-01,"Adelaide","South Australia","Holiday",124.6560046
"135",2012-07-01,"Adelaide","South Australia","Holiday",148.6707777
"136",2012-10-01,"Adelaide","South Australia","Holiday",153.7400777
"137",2013-01-01,"Adelaide","South Australia","Holiday",171.0331777
"138",2013-04-01,"Adelaide","South Australia","Holiday",127.9855815
"139",2013-07-01,"Adelaide","South Australia","Holiday",130.9978837
"140",2013-10-01,"Adelaide","South Australia","Holiday",118.0241892
"141",2014-01-01,"Adelaide","South Australia","Holiday",181.5294045
"142",2014-04-01,"Adelaide","South Australia","Holiday",159.832988
"143",2014-07-01,"Adelaide","South Australia","Holiday",130.2123061
"144",2014-10-01,"Adelaide","South Australia","Holiday",137.4820398
"145",2015-01-01,"Adelaide","South Australia","Holiday",214.2565621
"146",2015-04-01,"Adelaide","South Australia","Holiday",125.0024901
"147",2015-07-01,"Adelaide","South Australia","Holiday",130.510519
"148",2015-10-01,"Adelaide","South Australia","Holiday",180.5502086
"149",2016-01-01,"Adelaide","South Australia","Holiday",194.9879354
"150",2016-04-01,"Adelaide","South Australia","Holiday",177.1418065
"151",2016-07-01,"Adelaide","South Australia","Holiday",154.1169205
"152",2016-10-01,"Adelaide","South Australia","Holiday",147.1019643
"153",1998-01-01,"Adelaide","South Australia","Other",58.3626891
"154",1998-04-01,"Adelaide","South Australia","Other",39.4687353
"155",1998-07-01,"Adelaide","South Australia","Other",38.431629
"156",1998-10-01,"Adelaide","South Australia","Other",33.7915233
"157",1999-01-01,"Adelaide","South Australia","Other",25.9018459
"158",1999-04-01,"Adelaide","South Australia","Other",54.5493233
"159",1999-07-01,"Adelaide","South Australia","Other",28.7145367
"160",1999-10-01,"Adelaide","South Australia","Other",44.903216
"161",2000-01-01,"Adelaide","South Australia","Other",56.4463277
"162",2000-04-01,"Adelaide","South Australia","Other",80.9540403
"163",2000-07-01,"Adelaide","South Australia","Other",40.340643
"164",2000-10-01,"Adelaide","South Australia","Other",47.349627
"165",2001-01-01,"Adelaide","South Australia","Other",36.8334712
"166",2001-04-01,"Adelaide","South Australia","Other",65.0079823
"167",2001-07-01,"Adelaide","South Australia","Other",54.7317678
"168",2001-10-01,"Adelaide","South Australia","Other",56.2549271
"169",2002-01-01,"Adelaide","South Australia","Other",41.5928159
"170",2002-04-01,"Adelaide","South Australia","Other",36.6562369
"171",2002-07-01,"Adelaide","South Australia","Other",50.8411344
"172",2002-10-01,"Adelaide","South Australia","Other",43.8577248
"173",2003-01-01,"Adelaide","South Australia","Other",40.1157815
"174",2003-04-01,"Adelaide","South Australia","Other",64.3621483
"175",2003-07-01,"Adelaide","South Australia","Other",44.4441751
"176",2003-10-01,"Adelaide","South Australia","Other",43.3242303
"177",2004-01-01,"Adelaide","South Australia","Other",42.3108254
"178",2004-04-01,"Adelaide","South Australia","Other",56.0269055
"179",2004-07-01,"Adelaide","South Australia","Other",59.2224325
"180",2004-10-01,"Adelaide","South Australia","Other",57.6255736
"181",2005-01-01,"Adelaide","South Australia","Other",49.7870409
"182",2005-04-01,"Adelaide","South Australia","Other",49.2945724
"183",2005-07-01,"Adelaide","South Australia","Other",31.9925869
"184",2005-10-01,"Adelaide","South Australia","Other",55.8062237
"185",2006-01-01,"Adelaide","South Australia","Other",50.236464
"186",2006-04-01,"Adelaide","South Australia","Other",55.449475
"187",2006-07-01,"Adelaide","South Australia","Other",54.776388
"188",2006-10-01,"Adelaide","South Australia","Other",41.805042
"189",2007-01-01,"Adelaide","South Australia","Other",41.2923221
"190",2007-04-01,"Adelaide","South Australia","Other",49.9884623
"191",2007-07-01,"Adelaide","South Australia","Other",55.0872166
"192",2007-10-01,"Adelaide","South Australia","Other",51.7531199
"193",2008-01-01,"Adelaide","South Australia","Other",43.8686265
"194",2008-04-01,"Adelaide","South Australia","Other",37.5657883
"195",2008-07-01,"Adelaide","South Australia","Other",46.4611953
"196",2008-10-01,"Adelaide","South Australia","Other",44.106251
"197",2009-01-01,"Adelaide","South Australia","Other",52.0594965
"198",2009-04-01,"Adelaide","South Australia","Other",52.4399762
"199",2009-07-01,"Adelaide","South Australia","Other",56.0704944
"200",2009-10-01,"Adelaide","South Australia","Other",41.9836801
"201",2010-01-01,"Adelaide","South Australia","Other",43.76536
"202",2010-04-01,"Adelaide","South Australia","Other",55.7404317
"203",2010-07-01,"Adelaide","South Australia","Other",53.0696029
"204",2010-10-01,"Adelaide","South Australia","Other",55.3062409
"205",2011-01-01,"Adelaide","South Australia","Other",70.1165861
"206",2011-04-01,"Adelaide","South Australia","Other",56.6278031
"207",2011-07-01,"Adelaide","South Australia","Other",61.9101303
"208",2011-10-01,"Adelaide","South Australia","Other",57.9282548
"209",2012-01-01,"Adelaide","South Australia","Other",58.2204869
"210",2012-04-01,"Adelaide","South Australia","Other",88.1216209
"211",2012-07-01,"Adelaide","South Australia","Other",66.8339913
"212",2012-10-01,"Adelaide","South Australia","Other",42.2232428
"213",2013-01-01,"Adelaide","South Australia","Other",52.7758394
"214",2013-04-01,"Adelaide","South Australia","Other",52.4453248
"215",2013-07-01,"Adelaide","South Australia","Other",79.5717441
"216",2013-10-01,"Adelaide","South Australia","Other",101.7222527
"217",2014-01-01,"Adelaide","South Australia","Other",61.9746584
"218",2014-04-01,"Adelaide","South Australia","Other",66.2706781
"219",2014-07-01,"Adelaide","South Australia","Other",51.6426037
"220",2014-10-01,"Adelaide","South Australia","Other",68.0916207
"221",2015-01-01,"Adelaide","South Australia","Other",58.8773942
"222",2015-04-01,"Adelaide","South Australia","Other",69.6538907
"223",2015-07-01,"Adelaide","South Australia","Other",46.7824002
"224",2015-10-01,"Adelaide","South Australia","Other",40.8500667
"225",2016-01-01,"Adelaide","South Australia","Other",60.7569305
"226",2016-04-01,"Adelaide","South Australia","Other",80.4886879
"227",2016-07-01,"Adelaide","South Australia","Other",81.7148422
"228",2016-10-01,"Adelaide","South Australia","Other",83.5487847
"229",1998-01-01,"Adelaide","South Australia","Visiting",241.5561095
"230",1998-04-01,"Adelaide","South Australia","Visiting",170.1105142
"231",1998-07-01,"Adelaide","South Australia","Visiting",232.3488833
"232",1998-10-01,"Adelaide","South Australia","Visiting",180.9617928
"233",1999-01-01,"Adelaide","South Australia","Visiting",199.711846
"234",1999-04-01,"Adelaide","South Australia","Visiting",179.5662015
"235",1999-07-01,"Adelaide","South Australia","Visiting",203.9482412
"236",1999-10-01,"Adelaide","South Australia","Visiting",214.4801446
"237",2000-01-01,"Adelaide","South Australia","Visiting",251.7557851
"238",2000-04-01,"Adelaide","South Australia","Visiting",178.6629738
"239",2000-07-01,"Adelaide","South Australia","Visiting",147.5333628
"240",2000-10-01,"Adelaide","South Australia","Visiting",213.1198656
"241",2001-01-01,"Adelaide","South Australia","Visiting",239.9944022
"242",2001-04-01,"Adelaide","South Australia","Visiting",155.6012016
"243",2001-07-01,"Adelaide","South Australia","Visiting",162.7763442
"244",2001-10-01,"Adelaide","South Australia","Visiting",256.3846773
"245",2002-01-01,"Adelaide","South Australia","Visiting",198.208282
"246",2002-04-01,"Adelaide","South Australia","Visiting",250.1651577
"247",2002-07-01,"Adelaide","South Australia","Visiting",223.3220049
"248",2002-10-01,"Adelaide","South Australia","Visiting",189.6923009
"249",2003-01-01,"Adelaide","South Australia","Visiting",230.0463821
"250",2003-04-01,"Adelaide","South Australia","Visiting",173.4722393
"251",2003-07-01,"Adelaide","South Australia","Visiting",175.135268
"252",2003-10-01,"Adelaide","South Australia","Visiting",208.7591977
"253",2004-01-01,"Adelaide","South Australia","Visiting",265.7548591
"254",2004-04-01,"Adelaide","South Australia","Visiting",213.8409703
"255",2004-07-01,"Adelaide","South Australia","Visiting",183.408378
"256",2004-10-01,"Adelaide","South Australia","Visiting",231.7860383
"257",2005-01-01,"Adelaide","South Australia","Visiting",261.8095196
"258",2005-04-01,"Adelaide","South Australia","Visiting",176.1852599
"259",2005-07-01,"Adelaide","South Australia","Visiting",165.3942311
"260",2005-10-01,"Adelaide","South Australia","Visiting",182.0362393
"261",2006-01-01,"Adelaide","South Australia","Visiting",218.827553
"262",2006-04-01,"Adelaide","South Australia","Visiting",194.114447
"263",2006-07-01,"Adelaide","South Australia","Visiting",163.068442
"264",2006-10-01,"Adelaide","South Australia","Visiting",220.230351
"265",2007-01-01,"Adelaide","South Australia","Visiting",246.2381097
"266",2007-04-01,"Adelaide","South Australia","Visiting",220.738877
"267",2007-07-01,"Adelaide","South Australia","Visiting",188.9236406
"268",2007-10-01,"Adelaide","South Australia","Visiting",223.1513123
"269",2008-01-01,"Adelaide","South Australia","Visiting",243.6220677
"270",2008-04-01,"Adelaide","South Australia","Visiting",186.8657264
"271",2008-07-01,"Adelaide","South Australia","Visiting",179.00034
"272",2008-10-01,"Adelaide","South Australia","Visiting",218.8652874
"273",2009-01-01,"Adelaide","South Australia","Visiting",193.9363459
"274",2009-04-01,"Adelaide","South Australia","Visiting",166.5628643
"275",2009-07-01,"Adelaide","South Australia","Visiting",206.980141
"276",2009-10-01,"Adelaide","South Australia","Visiting",199.9165145
"277",2010-01-01,"Adelaide","South Australia","Visiting",177.3642501
"278",2010-04-01,"Adelaide","South Australia","Visiting",190.3976189
"279",2010-07-01,"Adelaide","South Australia","Visiting",136.6111544
"280",2010-10-01,"Adelaide","South Australia","Visiting",174.7713795
"281",2011-01-01,"Adelaide","South Australia","Visiting",213.8757276
"282",2011-04-01,"Adelaide","South Australia","Visiting",185.397534
"283",2011-07-01,"Adelaide","South Australia","Visiting",145.3488
"284",2011-10-01,"Adelaide","South Australia","Visiting",206.5681484
"285",2012-01-01,"Adelaide","South Australia","Visiting",177.4265611
"286",2012-04-01,"Adelaide","South Australia","Visiting",165.9582747
"287",2012-07-01,"Adelaide","South Australia","Visiting",174.4469643
"288",2012-10-01,"Adelaide","South Australia","Visiting",236.4678649
"289",2013-01-01,"Adelaide","South Australia","Visiting",177.7299619
"290",2013-04-01,"Adelaide","South Australia","Visiting",213.4183644
"291",2013-07-01,"Adelaide","South Australia","Visiting",197.1145928
"292",2013-10-01,"Adelaide","South Australia","Visiting",180.1940008
"293",2014-01-01,"Adelaide","South Australia","Visiting",231.4417583
"294",2014-04-01,"Adelaide","South Australia","Visiting",271.6676219
"295",2014-07-01,"Adelaide","South Australia","Visiting",150.1489141
"296",2014-10-01,"Adelaide","South Australia","Visiting",266.3051506
"297",2015-01-01,"Adelaide","South Australia","Visiting",215.3990872
"298",2015-04-01,"Adelaide","South Australia","Visiting",223.3509723
"299",2015-07-01,"Adelaide","South Australia","Visiting",190.545635
"300",2015-10-01,"Adelaide","South Australia","Visiting",260.6050131
"301",2016-01-01,"Adelaide","South Australia","Visiting",259.8811767
"302",2016-04-01,"Adelaide","South Australia","Visiting",219.1658594
"303",2016-07-01,"Adelaide","South Australia","Visiting",203.7540928
"304",2016-10-01,"Adelaide","South Australia","Visiting",251.2916838
"305",1998-01-01,"Adelaide Hills","South Australia","Business",0
"306",1998-04-01,"Adelaide Hills","South Australia","Business",0
"307",1998-07-01,"Adelaide Hills","South Australia","Business",7.4175726
"308",1998-10-01,"Adelaide Hills","South Australia","Business",0
"309",1999-01-01,"Adelaide Hills","South Australia","Business",0.669801
"310",1999-04-01,"Adelaide Hills","South Australia","Business",0.9485634
"311",1999-07-01,"Adelaide Hills","South Australia","Business",0
"312",1999-10-01,"Adelaide Hills","South Australia","Business",0
"313",2000-01-01,"Adelaide Hills","South Australia","Business",0
"314",2000-04-01,"Adelaide Hills","South Australia","Business",0.6234467
"315",2000-07-01,"Adelaide Hills","South Australia","Business",4.9205512
"316",2000-10-01,"Adelaide Hills","South Australia","Business",7.2571081
"317",2001-01-01,"Adelaide Hills","South Australia","Business",0
"318",2001-04-01,"Adelaide Hills","South Australia","Business",5.4055598
"319",2001-07-01,"Adelaide Hills","South Australia","Business",1.8786155
"320",2001-10-01,"Adelaide Hills","South Australia","Business",0.9916063
"321",2002-01-01,"Adelaide Hills","South Australia","Business",0
"322",2002-04-01,"Adelaide Hills","South Australia","Business",2.2811975
"323",2002-07-01,"Adelaide Hills","South Australia","Business",0
"324",2002-10-01,"Adelaide Hills","South Australia","Business",0
"325",2003-01-01,"Adelaide Hills","South Australia","Business",0
"326",2003-04-01,"Adelaide Hills","South Australia","Business",2.265113
"327",2003-07-01,"Adelaide Hills","South Australia","Business",2.4946163
"328",2003-10-01,"Adelaide Hills","South Australia","Business",0
"329",2004-01-01,"Adelaide Hills","South Australia","Business",4.1064634
"330",2004-04-01,"Adelaide Hills","South Australia","Business",6.1167046
"331",2004-07-01,"Adelaide Hills","South Australia","Business",28.6015152
"332",2004-10-01,"Adelaide Hills","South Australia","Business",5.1464077
"333",2005-01-01,"Adelaide Hills","South Australia","Business",5.9550873
"334",2005-04-01,"Adelaide Hills","South Australia","Business",6.9998942
"335",2005-07-01,"Adelaide Hills","South Australia","Business",0.7188813
"336",2005-10-01,"Adelaide Hills","South Australia","Business",0
"337",2006-01-01,"Adelaide Hills","South Australia","Business",1.322368
"338",2006-04-01,"Adelaide Hills","South Australia","Business",1.348101
"339",2006-07-01,"Adelaide Hills","South Australia","Business",0.788043
"340",2006-10-01,"Adelaide Hills","South Australia","Business",2.58543
"341",2007-01-01,"Adelaide Hills","South Australia","Business",3.4910835
"342",2007-04-01,"Adelaide Hills","South Australia","Business",1.9444892
"343",2007-07-01,"Adelaide Hills","South Australia","Business",0.9550753
"344",2007-10-01,"Adelaide Hills","South Australia","Business",7.4194128
"345",2008-01-01,"Adelaide Hills","South Australia","Business",4.5110447
"346",2008-04-01,"Adelaide Hills","South Australia","Business",5.1827222
"347",2008-07-01,"Adelaide Hills","South Australia","Business",0.7745446
"348",2008-10-01,"Adelaide Hills","South Australia","Business",0
"349",2009-01-01,"Adelaide Hills","South Australia","Business",0.4740745
"350",2009-04-01,"Adelaide Hills","South Australia","Business",1.7390433
"351",2009-07-01,"Adelaide Hills","South Australia","Business",0
"352",2009-10-01,"Adelaide Hills","South Australia","Business",7.0883161
"353",2010-01-01,"Adelaide Hills","South Australia","Business",1.2614911
"354",2010-04-01,"Adelaide Hills","South Australia","Business",1.5545561
"355",2010-07-01,"Adelaide Hills","South Australia","Business",4.411182
"356",2010-10-01,"Adelaide Hills","South Australia","Business",0.7453911
"357",2011-01-01,"Adelaide Hills","South Australia","Business",0.8340089
"358",2011-04-01,"Adelaide Hills","South Australia","Business",1.486946
"359",2011-07-01,"Adelaide Hills","South Australia","Business",8.9171885
"360",2011-10-01,"Adelaide Hills","South Australia","Business",1.3575087
"361",2012-01-01,"Adelaide Hills","South Australia","Business",0
"362",2012-04-01,"Adelaide Hills","South Australia","Business",3.0112114
"363",2012-07-01,"Adelaide Hills","South Australia","Business",0
"364",2012-10-01,"Adelaide Hills","South Australia","Business",4.7733067
"365",2013-01-01,"Adelaide Hills","South Australia","Business",1.7713181
"366",2013-04-01,"Adelaide Hills","South Australia","Business",2.6677437
"367",2013-07-01,"Adelaide Hills","South Australia","Business",0
"368",2013-10-01,"Adelaide Hills","South Australia","Business",0
"369",2014-01-01,"Adelaide Hills","South Australia","Business",0
"370",2014-04-01,"Adelaide Hills","South Australia","Business",1.3273655
"371",2014-07-01,"Adelaide Hills","South Australia","Business",0
"372",2014-10-01,"Adelaide Hills","South Australia","Business",0
"373",2015-01-01,"Adelaide Hills","South Australia","Business",0.7312116
"374",2015-04-01,"Adelaide Hills","South Australia","Business",1.8651584
"375",2015-07-01,"Adelaide Hills","South Australia","Business",18.0812472
"376",2015-10-01,"Adelaide Hills","South Australia","Business",0
"377",2016-01-01,"Adelaide Hills","South Australia","Business",13.9097966
"378",2016-04-01,"Adelaide Hills","South Australia","Business",0
"379",2016-07-01,"Adelaide Hills","South Australia","Business",3.8583368
"380",2016-10-01,"Adelaide Hills","South Australia","Business",0.1173455
"381",1998-01-01,"Adelaide Hills","South Australia","Holiday",6.8104523
"382",1998-04-01,"Adelaide Hills","South Australia","Holiday",13.6720871
"383",1998-07-01,"Adelaide Hills","South Australia","Holiday",12.9211976
"384",1998-10-01,"Adelaide Hills","South Australia","Holiday",18.1373877
"385",1999-01-01,"Adelaide Hills","South Australia","Holiday",10.9051648
"386",1999-04-01,"Adelaide Hills","South Australia","Holiday",16.7807442
"387",1999-07-01,"Adelaide Hills","South Australia","Holiday",6.9177303
"388",1999-10-01,"Adelaide Hills","South Australia","Holiday",9.7011935
"389",2000-01-01,"Adelaide Hills","South Australia","Holiday",15.0217047
"390",2000-04-01,"Adelaide Hills","South Australia","Holiday",15.0266245
"391",2000-07-01,"Adelaide Hills","South Australia","Holiday",35.7513371
"392",2000-10-01,"Adelaide Hills","South Australia","Holiday",6.9048294
"393",2001-01-01,"Adelaide Hills","South Australia","Holiday",0
"394",2001-04-01,"Adelaide Hills","South Australia","Holiday",8.5686541
"395",2001-07-01,"Adelaide Hills","South Australia","Holiday",6.8432419
"396",2001-10-01,"Adelaide Hills","South Australia","Holiday",2.0958331
"397",2002-01-01,"Adelaide Hills","South Australia","Holiday",10.0677382
"398",2002-04-01,"Adelaide Hills","South Australia","Holiday",13.9655569
"399",2002-07-01,"Adelaide Hills","South Australia","Holiday",8.210802
"400",2002-10-01,"Adelaide Hills","South Australia","Holiday",11.2447404
"401",2003-01-01,"Adelaide Hills","South Australia","Holiday",7.6936875
"402",2003-04-01,"Adelaide Hills","South Australia","Holiday",1.2393061
"403",2003-07-01,"Adelaide Hills","South Australia","Holiday",8.1428229
"404",2003-10-01,"Adelaide Hills","South Australia","Holiday",2.7774158
"405",2004-01-01,"Adelaide Hills","South Australia","Holiday",20.6068023
"406",2004-04-01,"Adelaide Hills","South Australia","Holiday",4.0609206
"407",2004-07-01,"Adelaide Hills","South Australia","Holiday",16.159782
"408",2004-10-01,"Adelaide Hills","South Australia","Holiday",8.492838
"409",2005-01-01,"Adelaide Hills","South Australia","Holiday",9.0009987
"410",2005-04-01,"Adelaide Hills","South Australia","Holiday",7.2371547
"411",2005-07-01,"Adelaide Hills","South Australia","Holiday",6.4905447
"412",2005-10-01,"Adelaide Hills","South Australia","Holiday",3.5300866
"413",2006-01-01,"Adelaide Hills","South Australia","Holiday",9.258452
"414",2006-04-01,"Adelaide Hills","South Australia","Holiday",6.678015
"415",2006-07-01,"Adelaide Hills","South Australia","Holiday",5.770516
"416",2006-10-01,"Adelaide Hills","South Australia","Holiday",5.642634
"417",2007-01-01,"Adelaide Hills","South Australia","Holiday",7.783172
"418",2007-04-01,"Adelaide Hills","South Australia","Holiday",5.2993434
"419",2007-07-01,"Adelaide Hills","South Australia","Holiday",4.8560908
"420",2007-10-01,"Adelaide Hills","South Australia","Holiday",12.3934947
"421",2008-01-01,"Adelaide Hills","South Australia","Holiday",4.7703495
"422",2008-04-01,"Adelaide Hills","South Australia","Holiday",8.3249579
"423",2008-07-01,"Adelaide Hills","South Australia","Holiday",8.5390942
"424",2008-10-01,"Adelaide Hills","South Australia","Holiday",7.9047397
"425",2009-01-01,"Adelaide Hills","South Australia","Holiday",6.7295009
"426",2009-04-01,"Adelaide Hills","South Australia","Holiday",3.7608167
"427",2009-07-01,"Adelaide Hills","South Australia","Holiday",6.5875964
"428",2009-10-01,"Adelaide Hills","South Australia","Holiday",11.9245373
"429",2010-01-01,"Adelaide Hills","South Australia","Holiday",2.5127822
"430",2010-04-01,"Adelaide Hills","South Australia","Holiday",5.2512939
